bits,value
100,1267650600228229401496703205361
101,2535301200456458802993406410683
102,5070602400912917605986812821471
103,10141204801825835211973625642911
104,20282409603651670423947251285999
105,40564819207303340847894502572019
106,81129638414606681695789005143947
107,162259276829213363391578010288127
108,324518553658426726783156020576197
109,649037107316853453566312041152481
110,1298074214633706907132624082305003
111,2596148429267413814265248164610011
112,5192296858534827628530496329220021
113,10384593717069655257060992658440059
114,20769187434139310514121985316880373
115,41538374868278621028243970633760701
116,83076749736557242056487941267521533
117,166153499473114484112975882535042793
118,332306998946228968225951765070086139
119,664613997892457936451903530140172219
120,1329227995784915872903807060280344457
121,2658455991569831745807614120560689079
122,5316911983139663491615228241121378301
123,10633823966279326983230456482242756541
124,21267647932558653966460912964485513157
125,42535295865117307932921825928971026423
126,85070591730234615865843651857942052727
127,170141183460469231731687303715884105727
128,340282366920938463463374607431768211297
129,680564733841876926926749214863536422887
130,1361129467683753853853498429727072845819
131,2722258935367507707706996859454145691579
132,5444517870735015415413993718908291382949
133,10889035741470030830827987437816582766493
134,21778071482940061661655974875633165533139
135,43556142965880123323311949751266331066323
136,87112285931760246646623899502532662132623
137,174224571863520493293247799005065324265459
138,348449143727040986586495598010130648530839
139,696898287454081973172991196020261297061701
140,1393796574908163946345982392040522594123749
141,2787593149816327892691964784081045188247543
142,5575186299632655785383929568162090376494993
143,11150372599265311570767859136324180752990139
144,22300745198530623141535718272648361505980333
145,44601490397061246283071436545296723011960681
146,89202980794122492566142873090593446023921511
147,178405961588244985132285746181186892047843183
148,356811923176489970264571492362373784095686489
149,713623846352979940529142984724747568191373281
150,1427247692705959881058285969449495136382746621
151,2854495385411919762116571938898990272765493053
152,5708990770823839524233143877797980545530986479
153,11417981541647679048466287755595961091061972923
154,22835963083295358096932575511191922182123945741
155,45671926166590716193865151022383844364247891937
156,91343852333181432387730302044767688728495783793
157,182687704666362864775460604089535377456991567853
158,365375409332725729550921208179070754913983135729
159,730750818665451459101842416358141509827966271397
160,1461501637330902918203684832716283019655932542929
161,2923003274661805836407369665432566039311865085793
162,5846006549323611672814739330865132078623730171803
163,11692013098647223345629478661730264157247460343753
164,23384026197294446691258957323460528314494920687553
165,46768052394588893382517914646921056628989841375207
166,93536104789177786765035829293842113257979682750459
167,187072209578355573530071658587684226515959365500793
168,374144419156711147060143317175368453031918731001599
169,748288838313422294120286634350736906063837462003069
170,1496577676626844588240573268701473812127674924007281
171,2993155353253689176481146537402947624255349848014829
172,5986310706507378352962293074805895248510699696029601
173,11972621413014756705924586149611790497021399392059337
174,23945242826029513411849172299223580994042798784118781
175,47890485652059026823698344598447161988085597568237339
176,95780971304118053647396689196894323976171195136474903
177,191561942608236107294793378393788647952342390272949933
178,383123885216472214589586756787577295904684780545900503
179,766247770432944429179173513575154591809369561091801039
180,1532495540865888858358347027150309183618739122183602129
181,3064991081731777716716694054300618367237478244367204187
182,6129982163463555433433388108601236734474956488734408543
183,12259964326927110866866776217202473468949912977468817261
184,24519928653854221733733552434404946937899825954937634783
185,49039857307708443467467104868809893875799651909875269329
186,98079714615416886934934209737619787751599303819750538893
187,196159429230833773869868419475239575503198607639501078443
188,392318858461667547739736838950479151006397215279002156931
189,784637716923335095479473677900958302012794430558004314087
190,1569275433846670190958947355801916604025588861116008628213
191,3138550867693340381917894711603833208051177722232017256429
192,6277101735386680763835789423207666416102355444464034512659
193,12554203470773361527671578846415332832204710888928069025761
194,25108406941546723055343157692830665664409421777856138051551
195,50216813883093446110686315385661331328818843555712276103033
196,100433627766186892221372630771322662657637687111424552206321
197,200867255532373784442745261542645325315275374222849104412597
198,401734511064747568885490523085290650630550748445698208825327
199,803469022129495137770981046170581301261101496891396417650639
200,1606938044258990275541962092341162602522202993782792835301301
